,Daily / Top 20,Daily / Btm 20,Daily / L-S,Weekly / Top 20,Weekly / Btm 20,Weekly / L-S
alpha,0.390**,-0.763***,1.153***,0.244,-0.699***,0.943***
,(2.18),(-3.07),(3.39),(1.10),(-3.22),(2.94)
mkt,0.926***,0.960***,-0.034,0.919***,0.929***,-0.010
,(9.63),(5.06),(-0.14),(7.20),(6.06),(-0.04)
smb,0.310**,1.360***,-1.051***,0.033,1.340***,-1.307***
,(2.08),(5.32),(-3.76),(0.20),(6.69),(-5.37)
hml,-0.396***,-0.073,-0.323,-0.220,-0.240,0.021
,(-3.22),(-0.30),(-1.21),(-1.35),(-1.16),(0.08)
rmw,0.352***,0.002,0.349,0.232,-0.028,0.260
,(2.69),(0.01),(1.19),(1.18),(-0.14),(0.84)
cma,-0.344*,0.421,-0.766*,-0.195,0.494,-0.688
,(-1.86),(1.20),(-1.78),(-0.79),(1.61),(-1.47)
mom,0.120,-0.317**,0.437***,0.079,-0.261**,0.340**
,(1.60),(-2.46),(2.91),(0.96),(-2.44),(2.43)
Obs,205,205,205,205,205,205
