icb_industry_mnem,icb_industry_label,stock_days,stock_day_fraction,avg_daily_count,avg_daily_weight,date_fraction_present,distinct_stocks
TECNO,Technology,1930,0.3669201520912547,7.338403041825095,0.5617825250846677,0.9961977186311787,115
INDUS,Industrials,908,0.1726235741444867,3.452471482889734,0.10201876552584886,0.9809885931558935,134
CODIS,Consumer Discretionary,600,0.11406844106463879,2.2813688212927756,0.09983776629530475,0.9201520912547528,110
FINAN,Financials,540,0.10266159695817491,2.053231939163498,0.06446141206466462,0.9011406844106464,113
HLTHC,Health Care,522,0.09923954372623574,1.984790874524715,0.08460058896467176,0.8821292775665399,75
TELCM,Telecommunications,172,0.03269961977186312,0.6539923954372624,0.02183951615141888,0.5437262357414449,16
ENEGY,Energy,160,0.030418250950570342,0.6083650190114068,0.021939060431238392,0.3916349809885932,35
COSTP,Consumer Staples,130,0.024714828897338403,0.49429657794676807,0.014683645949585345,0.3688212927756654,36
BMATR,Basic Materials,104,0.01977186311787072,0.39543726235741444,0.01106047118828463,0.30798479087452474,26
UTILS,Utilities,98,0.018631178707224333,0.3726235741444867,0.010494318091702745,0.3041825095057034,25
RLEST,Real Estate,91,0.01730038022813688,0.34600760456273766,0.007058245164949738,0.2661596958174905,37
Unknown,Unknown,5,0.0009505703422053232,0.019011406844106463,0.0002236850876624979,0.011406844106463879,5
