date,icb_industry_label,slot_count,value_weight,daily_total_slots,slot_share,weight_share
2025-04-15,Consumer Discretionary,5,0.19436542080283495,20,0.25,0.19436542080283495
2025-04-15,Energy,1,0.009979301348565553,20,0.05,0.009979301348565553
2025-04-15,Financials,2,0.052301975926857175,20,0.1,0.052301975926857175
2025-04-15,Health Care,1,0.00994604472201213,20,0.05,0.00994604472201213
2025-04-15,Industrials,3,0.16360386003813182,20,0.15,0.16360386003813182
2025-04-15,Technology,7,0.5181022978132404,20,0.35,0.5181022978132404
2025-04-15,Telecommunications,1,0.05170109934835798,20,0.05,0.05170109934835798
2025-04-16,Consumer Discretionary,2,0.17166880706727677,20,0.1,0.17166880706727677
2025-04-16,Consumer Staples,1,0.05068174827773064,20,0.05,0.05068174827773064
2025-04-16,Financials,2,0.14305123353318258,20,0.1,0.14305123353318258
2025-04-16,Health Care,5,0.17154457746376142,20,0.25,0.17154457746376142
2025-04-16,Industrials,4,0.15333830177363358,20,0.2,0.15333830177363358
2025-04-16,Technology,6,0.30971533188441497,20,0.3,0.30971533188441497
2025-04-17,Consumer Discretionary,5,0.15971453568821248,20,0.25,0.15971453568821248
2025-04-17,Consumer Staples,1,0.05669579762176289,20,0.05,0.05669579762176289
2025-04-17,Energy,1,0.008319230900783197,20,0.05,0.008319230900783197
2025-04-17,Health Care,3,0.1881871693903794,20,0.15,0.1881871693903794
2025-04-17,Industrials,2,0.030649424904312744,20,0.1,0.030649424904312744
2025-04-17,Real Estate,1,0.007705620150310652,20,0.05,0.007705620150310652
2025-04-17,Technology,6,0.47975017458612884,20,0.3,0.47975017458612884
2025-04-17,Telecommunications,1,0.06897804675810983,20,0.05,0.06897804675810983
2025-04-21,Basic Materials,1,0.0048086951791441335,20,0.05,0.0048086951791441335
2025-04-21,Consumer Discretionary,3,0.21996933404067628,20,0.15,0.21996933404067628
2025-04-21,Consumer Staples,1,0.0049623957403581425,20,0.05,0.0049623957403581425
2025-04-21,Energy,1,0.020781598839338108,20,0.05,0.020781598839338108
2025-04-21,Financials,2,0.07341551346943635,20,0.1,0.07341551346943635
2025-04-21,Health Care,4,0.2540694916038591,20,0.2,0.2540694916038591
2025-04-21,Industrials,2,0.052606846852898126,20,0.1,0.052606846852898126
2025-04-21,Technology,6,0.3693861242742895,20,0.3,0.3693861242742895
2025-04-22,Consumer Discretionary,2,0.08677762055326382,20,0.1,0.08677762055326382
2025-04-22,Consumer Staples,3,0.09823624031151995,20,0.15,0.09823624031151995
2025-04-22,Financials,2,0.09913862604599104,20,0.1,0.09913862604599104
2025-04-22,Health Care,5,0.177159852348358,20,0.25,0.177159852348358
2025-04-22,Industrials,2,0.04876056559730934,20,0.1,0.04876056559730934
2025-04-22,Technology,4,0.4557592588868138,20,0.2,0.4557592588868138
2025-04-22,Telecommunications,1,0.03018591627957192,20,0.05,0.03018591627957192
2025-04-22,Utilities,1,0.003981919977172162,20,0.05,0.003981919977172162
2025-04-23,Consumer Discretionary,4,0.16827180978518747,20,0.2,0.16827180978518747
2025-04-23,Consumer Staples,3,0.14057343918399076,20,0.15,0.14057343918399076
2025-04-23,Financials,3,0.19608417758729207,20,0.15,0.19608417758729207
2025-04-23,Health Care,5,0.19458646614547637,20,0.25,0.19458646614547637
2025-04-23,Industrials,2,0.1486229226076577,20,0.1,0.1486229226076577
2025-04-23,Technology,3,0.15186118469039572,20,0.15,0.15186118469039572
2025-04-24,Consumer Discretionary,4,0.1894990192986634,20,0.2,0.1894990192986634
2025-04-24,Consumer Staples,2,0.03983292479757618,20,0.1,0.03983292479757618
2025-04-24,Financials,2,0.09404664329898298,20,0.1,0.09404664329898298
2025-04-24,Health Care,1,0.05448750390300819,20,0.05,0.05448750390300819
2025-04-24,Industrials,5,0.05198362704817157,20,0.25,0.05198362704817157
2025-04-24,Technology,5,0.5497800824092323,20,0.25,0.5497800824092323
2025-04-24,Telecommunications,1,0.020370199244365488,20,0.05,0.020370199244365488
2025-04-25,Consumer Discretionary,3,0.17673626513611687,20,0.15,0.17673626513611687
2025-04-25,Consumer Staples,1,0.01944324162604837,20,0.05,0.01944324162604837
2025-04-25,Energy,1,0.002786518790301637,20,0.05,0.002786518790301637
2025-04-25,Financials,2,0.050854966217974105,20,0.1,0.050854966217974105
2025-04-25,Health Care,2,0.06782851451376314,20,0.1,0.06782851451376314
2025-04-25,Industrials,2,0.00403272974516653,20,0.1,0.00403272974516653
2025-04-25,Technology,9,0.6783177639706294,20,0.45,0.6783177639706294
2025-04-28,Consumer Discretionary,4,0.17082381964491294,20,0.2,0.17082381964491294
2025-04-28,Energy,1,0.0007636536547131086,20,0.05,0.0007636536547131086
2025-04-28,Financials,3,0.09254173139749297,20,0.15,0.09254173139749297
2025-04-28,Health Care,1,0.053985500018916124,20,0.05,0.053985500018916124
2025-04-28,Industrials,1,0.038047171555680034,20,0.05,0.038047171555680034
2025-04-28,Technology,8,0.6374736859634121,20,0.4,0.6374736859634121
2025-04-28,Utilities,2,0.006364437764872716,20,0.1,0.006364437764872716
2025-04-29,Basic Materials,1,0.0007854885710393148,20,0.05,0.0007854885710393148
2025-04-29,Consumer Discretionary,3,0.2461734316680875,20,0.15,0.2461734316680875
2025-04-29,Energy,1,0.0020091352632052683,20,0.05,0.0020091352632052683
2025-04-29,Health Care,2,0.056793135044985316,20,0.1,0.056793135044985316
2025-04-29,Industrials,5,0.04788113618400243,20,0.25,0.04788113618400243
2025-04-29,Technology,8,0.6463576732686802,20,0.4,0.6463576732686802
2025-04-30,Basic Materials,1,0.0007633466551978374,20,0.05,0.0007633466551978374
2025-04-30,Consumer Discretionary,3,0.19494386522221482,20,0.15,0.19494386522221482
2025-04-30,Financials,3,0.09024697660277298,20,0.15,0.09024697660277298
2025-04-30,Health Care,2,0.05472549083346386,20,0.1,0.05472549083346386
2025-04-30,Industrials,3,0.014523946734667937,20,0.15,0.014523946734667937
2025-04-30,Technology,8,0.6447963739516825,20,0.4,0.6447963739516825
2025-05-01,Consumer Discretionary,2,0.15538952832937988,20,0.1,0.15538952832937988
2025-05-01,Consumer Staples,1,0.0004928093599077917,20,0.05,0.0004928093599077917
2025-05-01,Energy,1,0.00047365984437902755,20,0.05,0.00047365984437902755
2025-05-01,Financials,3,0.05495384322661953,20,0.15,0.05495384322661953
2025-05-01,Health Care,3,0.24892187734414004,20,0.15,0.24892187734414004
2025-05-01,Industrials,4,0.05038893586602487,20,0.2,0.05038893586602487
2025-05-01,Technology,5,0.4881356228048164,20,0.25,0.4881356228048164
2025-05-01,Telecommunications,1,0.0012437232247323865,20,0.05,0.0012437232247323865
2025-05-02,Consumer Discretionary,1,0.00151069848962395,20,0.05,0.00151069848962395
2025-05-02,Consumer Staples,1,0.007547801620600071,20,0.05,0.007547801620600071
2025-05-02,Financials,1,0.021975961405234425,20,0.05,0.021975961405234425
2025-05-02,Health Care,2,0.022016664726406864,20,0.1,0.022016664726406864
2025-05-02,Industrials,4,0.1568048658841689,20,0.2,0.1568048658841689
2025-05-02,Real Estate,1,0.001303320583443276,20,0.05,0.001303320583443276
2025-05-02,Technology,10,0.7888406872905223,20,0.5,0.7888406872905223
2025-05-05,Consumer Discretionary,3,0.13700273991457707,20,0.15,0.13700273991457707
2025-05-05,Financials,2,0.09143662898985708,20,0.1,0.09143662898985708
2025-05-05,Health Care,3,0.06054856206944635,20,0.15,0.06054856206944635
2025-05-05,Industrials,4,0.05053094244057856,20,0.2,0.05053094244057856
2025-05-05,Technology,8,0.660481126585541,20,0.4,0.660481126585541
2025-05-06,Consumer Discretionary,5,0.2851616773082625,20,0.25,0.2851616773082625
2025-05-06,Consumer Staples,1,0.038950566675316774,20,0.05,0.038950566675316774
2025-05-06,Financials,1,0.007014294541303331,20,0.05,0.007014294541303331
2025-05-06,Health Care,4,0.10500631719518341,20,0.2,0.10500631719518341
2025-05-06,Industrials,4,0.09966385428067935,20,0.2,0.09966385428067935
2025-05-06,Technology,3,0.4194752442816013,20,0.15,0.4194752442816013
2025-05-06,Telecommunications,1,0.04138811866411589,20,0.05,0.04138811866411589
2025-05-06,Utilities,1,0.0033399270535375792,20,0.05,0.0033399270535375792
2025-05-07,Consumer Discretionary,2,0.04544435242784066,20,0.1,0.04544435242784066
2025-05-07,Energy,1,0.0043574339191156195,20,0.05,0.0043574339191156195
2025-05-07,Financials,1,0.013798984000824991,20,0.05,0.013798984000824991
2025-05-07,Health Care,4,0.07490684273022166,20,0.2,0.07490684273022166
2025-05-07,Industrials,5,0.10197850260199412,20,0.25,0.10197850260199412
2025-05-07,Technology,7,0.759513884320003,20,0.35,0.759513884320003
2025-05-08,Consumer Discretionary,2,0.142656114636036,20,0.1,0.142656114636036
2025-05-08,Financials,3,0.09726764134773558,20,0.15,0.09726764134773558
2025-05-08,Health Care,2,0.05150047516407323,20,0.1,0.05150047516407323
2025-05-08,Industrials,4,0.021941320613124028,20,0.2,0.021941320613124028
2025-05-08,Technology,9,0.6866344482390313,20,0.45,0.6866344482390313
2025-05-09,Consumer Discretionary,3,0.20139146802485575,20,0.15,0.20139146802485575
2025-05-09,Financials,2,0.09439885564252187,20,0.1,0.09439885564252187
2025-05-09,Health Care,1,0.050029676730039524,20,0.05,0.050029676730039524
2025-05-09,Industrials,3,0.006015491401751003,20,0.15,0.006015491401751003
2025-05-09,Technology,11,0.6481645082008319,20,0.55,0.6481645082008319
2025-05-12,Consumer Discretionary,3,0.16239542240605256,20,0.15,0.16239542240605256
2025-05-12,Energy,1,0.0022247273426572985,20,0.05,0.0022247273426572985
2025-05-12,Financials,1,0.04513647022603991,20,0.05,0.04513647022603991
2025-05-12,Health Care,2,0.04705602365636383,20,0.1,0.04705602365636383
2025-05-12,Industrials,3,0.07815255752749688,20,0.15,0.07815255752749688
2025-05-12,Technology,10,0.6650347988413894,20,0.5,0.6650347988413894
2025-05-13,Consumer Discretionary,2,0.18773876415773444,20,0.1,0.18773876415773444
2025-05-13,Financials,3,0.04965391406383626,20,0.15,0.04965391406383626
2025-05-13,Health Care,2,0.0476705539569081,20,0.1,0.0476705539569081
2025-05-13,Industrials,3,0.042343153189864625,20,0.15,0.042343153189864625
2025-05-13,Technology,10,0.6725936146316567,20,0.5,0.6725936146316567
2025-05-14,Consumer Discretionary,1,0.11891701123937193,20,0.05,0.11891701123937193
2025-05-14,Financials,1,0.0387999649392131,20,0.05,0.0387999649392131
2025-05-14,Health Care,1,0.018024971224273188,20,0.05,0.018024971224273188
2025-05-14,Industrials,5,0.08270985370462319,20,0.25,0.08270985370462319
2025-05-14,Technology,12,0.7415481988925187,20,0.6,0.7415481988925187
2025-05-15,Consumer Discretionary,2,0.14182629502933722,20,0.1,0.14182629502933722
2025-05-15,Financials,2,0.046213288101328326,20,0.1,0.046213288101328326
2025-05-15,Health Care,1,0.010506762128265528,20,0.05,0.010506762128265528
2025-05-15,Industrials,4,0.07151070359754888,20,0.2,0.07151070359754888
2025-05-15,Technology,10,0.7235941721412508,20,0.5,0.7235941721412508
2025-05-15,Telecommunications,1,0.006348779002269004,20,0.05,0.006348779002269004
2025-05-16,Consumer Discretionary,1,0.1290859027163723,20,0.05,0.1290859027163723
2025-05-16,Energy,1,0.0019511652201662703,20,0.05,0.0019511652201662703
2025-05-16,Financials,3,0.02211924078068324,20,0.15,0.02211924078068324
2025-05-16,Industrials,2,0.04903900973877321,20,0.1,0.04903900973877321
2025-05-16,Technology,11,0.7889316450256139,20,0.55,0.7889316450256139
2025-05-16,Telecommunications,1,0.00713394725791387,20,0.05,0.00713394725791387
