isin,name,icb_industry_mnem,icb_industry_label,industry_group_name,days,avg_weight,total_weight,date_fraction
US67066G1040,NVIDIA Corp,TECNO,Technology,Semiconductors,130,0.19758503594170745,25.686054672421967,0.49429657794676807
US11135F1012,Broadcom Inc,TECNO,Technology,Semiconductors,130,0.12189780862395701,15.84671512111441,0.49429657794676807
US5949181045,Microsoft Corp,TECNO,Technology,Software,106,0.1966276521674812,20.84253112975301,0.40304182509505704
US30303M1027,Meta Platforms Inc,TECNO,Technology,Consumer Digital Svs,98,0.11923165315306693,11.684702009000558,0.3726235741444867
US02079K1079,Alphabet Inc,TECNO,Technology,Consumer Digital Svs,87,0.1009262839301197,8.780586701920413,0.33079847908745247
US02079K3059,Alphabet Inc,TECNO,Technology,Consumer Digital Svs,83,0.10672430316071402,8.858117162339264,0.3155893536121673
US03831W1080,AppLovin Corp,TECNO,Technology,Software,83,0.04583554957381736,3.8043506146268404,0.3155893536121673
US5324571083,Eli Lilly & Co,HLTHC,Health Care,Pharmaceuticals,79,0.10457682432521116,8.261569121691682,0.30038022813688214
US92826C8394,Visa Inc,INDUS,Industrials,Transaction Process,76,0.05917511312465962,4.497308597474131,0.2889733840304182
US57636Q1040,Mastercard Inc,INDUS,Industrials,Transaction Process,74,0.05250273520081887,3.885202404860596,0.2813688212927757
US0231351067,Amazon.com Inc,CODIS,Consumer Discretionary,Diversified Retailers,64,0.15324123530697734,9.80743905964655,0.24334600760456274
US0404132054,Arista Networks Inc,TELCM,Telecommunications,Telecom. Equipment,64,0.026617256443105447,1.7035044123587486,0.24334600760456274
US36828A1016,GE Vernova Inc,INDUS,Industrials,Divers. Industrials,57,0.04103022994227403,2.3387231067096197,0.21673003802281368
US5951121038,Micron Technology Inc,TECNO,Technology,Semiconductors,54,0.11118992244825152,6.004255812205582,0.20532319391634982
US81762P1021,ServiceNow Inc,TECNO,Technology,Software,48,0.02717184202677055,1.3042484172849864,0.18250950570342206
US4612021034,Intuit Inc,TECNO,Technology,Software,47,0.02991279417307659,1.4059013261345998,0.17870722433460076
US64110L1061,Netflix Inc,CODIS,Consumer Discretionary,Entertainment,46,0.056877922520449646,2.6163844359406836,0.17490494296577946
US68389X1054,Oracle Corp,TECNO,Technology,Software,44,0.06439170348914999,2.8332349535225996,0.16730038022813687
US92537N1081,Vertiv Holdings Co,TECNO,Technology,Computer Hardware,43,0.03733962264217338,1.6056037736134552,0.1634980988593156
US05464C1018,Axon Enterprise Inc,INDUS,Industrials,Defense,43,0.012786916593404288,0.5498374135163844,0.1634980988593156
US69608A1088,Palantir Technologies Inc,TECNO,Technology,Software,42,0.054112373076568965,2.2727196692158964,0.1596958174904943
US0320951017,Amphenol Corp,TECNO,Technology,Electronic Components,42,0.02754956367160494,1.1570816742074075,0.1596958174904943
US1999081045,Comfort Systems USA Inc,INDUS,Industrials,Bldg: Climate Control,37,0.020844269395982367,0.7712379676513476,0.14068441064638784
US0079031078,Advanced Micro Devices Inc,TECNO,Technology,Semiconductors,34,0.040754776912973745,1.3856624150411072,0.12927756653992395
US3696043013,General Electric Co,INDUS,Industrials,Aerospace,34,0.0404234348858696,1.3743967861195665,0.12927756653992395
US9344231041,Warner Bros Discovery Inc,CODIS,Consumer Discretionary,Entertainment,33,0.042462467538070495,1.4012614287563263,0.12547528517110265
US46625H1005,JPMorgan Chase & Co,FINAN,Financials,Banks,32,0.08583480186297138,2.746713659615084,0.12167300380228137
US22788C1053,Crowdstrike Holdings Inc,TECNO,Technology,Software,32,0.024153867505066953,0.7729237601621425,0.12167300380228137
US5128073062,Lam Research Corp,TECNO,Technology,Prod. Tech. Equipment,31,0.06375684051171249,1.976462055863087,0.11787072243346007
US80004C2008,Sandisk Corp/DE,TECNO,Technology,Computer Hardware,31,0.042615784027708,1.321089304858948,0.11787072243346007
US78409V1044,S&P Global Inc,FINAN,Financials,Fin. Data Providers,31,0.02799903787538874,0.867970174137051,0.11787072243346007
US90353T1007,Uber Technologies Inc,CODIS,Consumer Discretionary,Consumer Svs: Misc.,30,0.021889014239119705,0.6566704271735911,0.11406844106463879
US6974351057,Palo Alto Networks Inc,TECNO,Technology,Software,28,0.0220547216947465,0.6175322074529019,0.10646387832699619
US9581021055,Western Digital Corp,TECNO,Technology,Computer Hardware,27,0.051380207354930235,1.3872655985831164,0.10266159695817491
US09857L1089,Booking Holdings Inc,CODIS,Consumer Discretionary,Travel & Tourism,27,0.0427126243853773,1.153240858405187,0.10266159695817491
US21037T1097,Constellation Energy Corp,UTILS,Utilities,Conv. Electricity,26,0.037172911656683065,0.9664957030737596,0.09885931558935361
US4432011082,Howmet Aerospace Inc,INDUS,Industrials,Aerospace,26,0.025370937227101945,0.6596443679046505,0.09885931558935361
US0378331005,Apple Inc,TECNO,Technology,Computer Hardware,25,0.1791435169988216,4.47858792497054,0.09505703422053231
US7181721090,Philip Morris International Inc,COSTP,Consumer Staples,Tobacco,25,0.05410032508392433,1.3525081270981083,0.09505703422053231
US6323071042,Natera Inc,HLTHC,Health Care,Medical Services,25,0.014151302908865213,0.35378257272163033,0.09505703422053231
US46120E6023,Intuitive Surgical Inc,HLTHC,Health Care,Medical Equipment,24,0.043570822824763565,1.0456997477943255,0.09125475285171103
US19247G1076,Coherent Corp,TECNO,Technology,Prod. Tech. Equipment,24,0.026900569722081758,0.6456136733299622,0.09125475285171103
LU1778762911,Spotify Technology SA,CODIS,Consumer Discretionary,Radio TV Broadcasters,23,0.026908335257231696,0.618891710916329,0.08745247148288973
